Name	literature	family	generic	music/orchestra	war/ancient	empire/religion	royalty	music/rock	film	politics/art
Jim Thorpe	0.02	0.11	0.23	0.01	0.03	0.03	0.03	0.02	0.51	0.02
S.H.E	0.02	0.09	0.13	0.01	0.03	0.01	0.02	0.27	0.38	0.05
Leo Ornstein	0.05	0.12	0.16	0.43	0.04	0.05	0.04	0.04	0.06	0.02
Victoria de Hesse-Darmstadt	0.01	0.18	0.19	0.02	0.05	0.01	0.51	0.01	0.01	0.01
Adelaide Anne Procter	0.42	0.2	0.19	0.03	0.02	0.02	0.04	0.04	0.02	0.03
Paulino de York	0.02	0.06	0.18	0.01	0.01	0.62	0.05	0.02	0.01	0.02
Joey Santiago	0.02	0.09	0.13	0.02	0.01	0.01	0.01	0.63	0.05	0.04
Martin Brodeur	0.06	0.06	0.13	0.05	0.06	0.05	0.04	0.04	0.44	0.07
Lazare Ponticelli	0.06	0.2	0.15	0.04	0.13	0.05	0.13	0.02	0.06	0.14
Miranda Otto	0.07	0.1	0.14	0.04	0.01	0.01	0.03	0.08	0.5	0.02
Aldfrith	0.03	0.08	0.17	0.01	0.03	0.62	0.04	0.01	0.01	0.01
Jorge III del Reino Unido	0.01	0.06	0.24	0.01	0.03	0.02	0.6	0.01	0.01	0.01
