ARTICLE_NAME	Art	Business_and_economics	Exploration	Law_and_crime	Life	Literature	Music	Politics	Popular_culture	Science_and_technology	Sports	TV_and_film	War_and_military
Piero Alva	0.0157126823793	0.013468013468	0.00561167227834	0.0283389450056	0.0322671156004	0.0137485970819	0.016835016835	0.0322671156004	0.0199214365881	0.0171156004489	0.59315375982	0.0162738496072	0.0173961840629
Piero della Francesca	0.343567251462	0.00925925925926	0.0148635477583	0.0375243664717	0.0787037037037	0.0584795321637	0.0214424951267	0.0134015594542	0.0134015594542	0.0821150097466	0.0355750487329	0.0182748538012	0.00511695906433
Piero Manzoni	0.314856998228	0.0640344216654	0.0280941533789	0.0528980005062	0.0354340673247	0.065046823589	0.0212604403948	0.0189825360668	0.00708681346495	0.118704125538	0.0412553783852	0.0275879524171	0.0129081245254
Pierre-Esprit Radisson	0.0350654837347	0.0266159695817	0.268694550063	0.103506548373	0.0933671313899	0.0515420363329	0.0240811153359	0.0477397549641	0.01436417406	0.0245035910435	0.0675961132235	0.0337980566117	0.0642163075623
Pierre-François Martin-Laval	0.289782244556	0.0117252931323	0.0117252931323	0.0312674483529	0.035734226689	0.0424343941932	0.0424343941932	0.0335008375209	0.0156337241764	0.0217755443886	0.0463428252373	0.274706867672	0.0335008375209
Pierre-Joseph Proudhon	0.0472898507164	0.11877567378	0.00801522893498	0.0393748121431	0.0344654844204	0.0546538423004	0.00400761446749	0.268009217513	0.00646227832882	0.0653241158201	0.0180342651037	0.00420799519086	0.0147780783489
Pierre-Marie-Alphonse Favier	0.0378412698413	0.0436825396825	0.0772698412698	0.112888888889	0.0424126984127	0.0446984126984	0.0055873015873	0.0793015873016	0.0221587301587	0.0153650793651	0.0127619047619	0.00412698412698	0.125968253968
Pierre-Paul Grassé	0.147856517935	0.0137795275591	0.0581802274716	0.0129046369204	0.0522747156605	0.0960192475941	0.0150918635171	0.101268591426	0.0107174103237	0.273622047244	0.0422134733158	0.0194663167104	0.0137795275591
Pierre Bayle	0.0882716049383	0.00833333333333	0.0157407407407	0.0324074074074	0.0876543209877	0.150617283951	0.0182098765432	0.0675925925926	0.00802469135802	0.0493827160494	0.0342592592593	0.0126543209877	0.0185185185185
Pierre Boulez	0.108815426997	0.0104683195592	0.00477502295684	0.0078971533517	0.0424242424242	0.062258953168	0.42277318641	0.0277318640955	0.012580348944	0.0698806244261	0.0186409550046	0.0163452708907	0.00578512396694
