#article_name 	topic_name1,topic_prop1	topic_name2,topic_prop2...
Carsten_Borchgrevink	explorers,0.4909090909090909	family,0.30073710073710075	military,0.055036855036855035	royalty,0.04520884520884521	literature,0.04078624078624079	politics,0.022604422604422605	cricket,0.012776412776412777	music,0.010810810810810811	church/royalty,0.010810810810810811	sports,0.010319410319410319
Caspar_David_Friedrich	literature,0.48819742489270385	family,0.2932761087267525	music,0.04971387696709585	military,0.04291845493562232	royalty,0.04256080114449213	church/royalty,0.03648068669527897	explorers,0.029685264663805437	politics,0.006437768240343348	sports,0.00536480686695279	cricket,0.00536480686695279
Catherine_de'_Medici	royalty,0.5157402852926709	family,0.29340875553369405	church/royalty,0.05115592720118052	literature,0.04746679783571077	explorers,0.025332021642892277	military,0.01942941465814068	sports,0.013280865715691098	politics,0.012297097884899164	cricket,0.011067388096409248	music,0.010821446138711265
Ceawlin_of_Wessex	church/royalty,0.8128718226068145	family,0.1065440778799351	cricket,0.02055164954029205	literature,0.014602487831260141	royalty,0.01081665765278529	sports,0.008112493239588967	explorers,0.0075716603569497025	politics,0.007030827474310438	military,0.005949161709031909	music,0.005949161709031909
Cedric_Howell	military,0.7357512953367875	family,0.0924006908462867	royalty,0.04922279792746114	cricket,0.037132987910189985	explorers,0.018998272884283247	sports,0.016407599309153715	literature,0.01468048359240069	music,0.012953367875647668	church/royalty,0.012089810017271158	politics,0.010362694300518135
Charles_Atangana	family,0.29550717924965264	church/royalty,0.2797591477535896	explorers,0.1440481704492821	military,0.10375173691523853	politics,0.07642427049559981	literature,0.03937007874015748	royalty,0.0333487725798981	music,0.01667438628994905	sports,0.006021306160259379	cricket,0.005094951366373321
Charles_Carroll_the_Settler	royalty,0.35194709772226307	politics,0.3188831741366642	family,0.1991182953710507	explorers,0.060249816311535635	church/royalty,0.028655400440852314	literature,0.015429831006612785	sports,0.00881704628949302	military,0.006612784717119765	cricket,0.006612784717119765	music,0.0036737692872887582
Charles_Eaton_(RAAF_officer)	military,0.7072263549415515	family,0.14187035069075452	royalty,0.02975557917109458	cricket,0.0281615302869288	politics,0.025504782146652496	explorers,0.023379383634431455	music,0.01381509032943677	sports,0.011158342189160468	literature,0.011158342189160468	church/royalty,0.007970244420828906
Charles_Edward_Magoon	politics,0.5602055800293686	family,0.24082232011747431	literature,0.04405286343612335	explorers,0.04185022026431718	military,0.0381791483113069	music,0.022026431718061675	church/royalty,0.019823788546255508	royalty,0.016886930983847283	sports,0.010279001468428781	cricket,0.005873715124816446
Charles_Holden	literature,0.47091503267973855	family,0.21470588235294116	military,0.12058823529411765	royalty,0.07679738562091504	politics,0.04411764705882353	music,0.020261437908496733	explorers,0.016666666666666666	church/royalty,0.01437908496732026	cricket,0.013398692810457516	sports,0.008169934640522876
Charles_II_of_England	royalty,0.6264314453729496	family,0.19127205199628597	politics,0.055710306406685235	military,0.036211699164345405	church/royalty,0.03404518724852987	explorers,0.023522129371711543	literature,0.015784586815227482	cricket,0.008047044258743422	sports,0.005880532342927886	music,0.0030950170225936243
Charles_Stewart_(Canadian_politician)	politics,0.6428252123379526	family,0.24228877961555656	royalty,0.04604380867232901	military,0.01743406347787215	literature,0.015198927134555208	cricket,0.010281627179257935	church/royalty,0.009834599910594547	explorers,0.007152436298614216	sports,0.006705409029950827	music,0.002235136343316942
Charles_Villiers_Stanford	music,0.47723035952063914	family,0.22689747003994673	literature,0.1440745672436751	royalty,0.0948069241011984	military,0.016245006657789614	cricket,0.010918774966711052	church/royalty,0.010119840213049267	politics,0.008788282290279626	sports,0.006125166444740347	explorers,0.004793608521970706
Charlie_Macartney	cricket,0.815490288962577	family,0.105873993368072	military,0.023685457129322594	literature,0.012079583135954523	politics,0.011842728564661297	royalty,0.00994789199431549	music,0.0071056371387967785	sports,0.005447655139744197	explorers,0.004973945997157745	church/royalty,0.0035528185693983892
Charlotte_Stuart,_Duchess_of_Albany	royalty,0.5471923536439666	family,0.27956989247311825	literature,0.05675029868578255	explorers,0.02867383512544803	church/royalty,0.026284348864994027	military,0.023297491039426525	music,0.017323775388291517	politics,0.01015531660692951	sports,0.005973715651135006	cricket,0.0047789725209080045
Chester_A._Arthur	politics,0.6752897350993378	family,0.21978476821192053	military,0.025869205298013245	royalty,0.02504139072847682	literature,0.01945364238410596	explorers,0.011382450331125827	sports,0.008278145695364239	cricket,0.005587748344370861	music,0.004759933774834437	church/royalty,0.004552980132450331
Chinua_Achebe	literature,0.4691334355828221	family,0.3293711656441718	politics,0.0571319018404908	explorers,0.04006901840490797	church/royalty,0.023197852760736198	military,0.02147239263803681	music,0.020705521472392636	royalty,0.019555214723926382	sports,0.011886503067484663	cricket,0.007476993865030675
Choe_Bu	explorers,0.43763037129745513	family,0.2903629536921151	literature,0.08886107634543179	church/royalty,0.05214851898206091	politics,0.051731330830204425	military,0.03504380475594493	royalty,0.019190654985398414	sports,0.008343763037129746	music,0.008343763037129746	cricket,0.008343763037129746
Christopher_Smart's_asylum_confinement	family,0.46422018348623856	literature,0.41027522935779814	royalty,0.032293577981651375	politics,0.02495412844036697	music,0.02128440366972477	explorers,0.01651376146788991	church/royalty,0.011376146788990826	cricket,0.008440366972477064	military,0.0066055045871559635	sports,0.004036697247706422
Chrisye	music,0.689424753050552	family,0.19349215572341663	literature,0.03282975014526438	military,0.01656013945380593	cricket,0.014235909355026147	politics,0.013945380592678676	royalty,0.013945380592678676	sports,0.00958744915746659	explorers,0.009296920395119116	church/royalty,0.006682161533991865
Cillian_Murphy	literature,0.459718026183283	family,0.21550855991943604	music,0.1908358509566969	sports,0.02920443101711984	politics,0.028700906344410877	royalty,0.020644511581067473	cricket,0.017119838872104734	explorers,0.013595166163141994	military,0.012588116817724069	church/royalty,0.012084592145015106
Clem_Hill	cricket,0.7513920733704553	family,0.13658696364231904	sports,0.04487389452997052	politics,0.01473960039305601	royalty,0.012774320340648543	literature,0.011136586963642319	explorers,0.00982640026203734	military,0.00917130691123485	church/royalty,0.0055682934818211596	music,0.003930560104814936
Clement_of_Dunblane	royalty,0.5322076297686054	family,0.26641651031894936	church/royalty,0.10006253908692933	politics,0.028142589118198873	explorers,0.021263289555972485	literature,0.020637898686679174	sports,0.013133208255159476	military,0.008755472170106316	cricket,0.005628517823639775	music,0.00375234521575985
Clements_Markham	explorers,0.4350968488002313	family,0.2168256721595837	literature,0.0956923966464296	royalty,0.08152645273200347	military,0.07950274645851402	politics,0.04741254697889564	church/royalty,0.01676785198034114	cricket,0.0132986412257878	sports,0.010985834056085574	music,0.0028910089621277824
CM_Punk	sports,0.6846	family,0.1742	music,0.0372	literature,0.0294	cricket,0.0168	politics,0.015	royalty,0.0138	explorers,0.0118	military,0.0102	church/royalty,0.0070
Coenred_of_Mercia	church/royalty,0.8002450980392157	family,0.0784313725490196	royalty,0.051470588235294115	politics,0.015931372549019607	music,0.012254901960784314	explorers,0.011029411764705883	literature,0.00857843137254902	cricket,0.00857843137254902	sports,0.007352941176470588	military,0.006127450980392157
Coenwulf_of_Mercia	church/royalty,0.724824986537426	family,0.12224017232094776	royalty,0.06946688206785137	politics,0.025309639203015617	literature,0.021540118470651588	military,0.009693053311793215	sports,0.009154550350026925	explorers,0.006462035541195477	music,0.006462035541195477	cricket,0.004846526655896607
Colley_Cibber	literature,0.446767449340624	family,0.28465744612415567	royalty,0.1611450627211322	music,0.026053393374075265	cricket,0.020585397233837247	sports,0.014474107430041815	explorers,0.012865873271148279	church/royalty,0.011579285944033452	politics,0.011257639112254744	military,0.01061434544869733
Constantine_II_of_Scotland	church/royalty,0.7411668036154478	family,0.10065735414954807	royalty,0.10024650780608052	politics,0.01314708299096138	literature,0.009860312243221035	explorers,0.009860312243221035	military,0.007395234182415777	sports,0.006984387838948234	music,0.006162695152013147	cricket,0.0045193097781429745
Cosmo_Gordon_Lang	royalty,0.40115115115115113	family,0.3400900900900901	politics,0.10635635635635636	literature,0.04479479479479479	church/royalty,0.04354354354354354	military,0.022022022022022022	explorers,0.016516516516516516	sports,0.010760760760760761	cricket,0.0075075075075075074	music,0.007257257257257258
Cynna_Kydd	sports,0.48366013071895425	cricket,0.22140522875816993	family,0.18709150326797386	literature,0.03022875816993464	politics,0.022058823529411766	royalty,0.014705882352941176	military,0.013071895424836602	church/royalty,0.011437908496732025	explorers,0.008169934640522876	music,0.008169934640522876
Cædmon	church/royalty,0.49899799599198397	literature,0.19505678022712092	family,0.1730126920507682	music,0.05143620574482298	royalty,0.02404809619238477	cricket,0.022044088176352707	politics,0.012024048096192385	explorers,0.009352037408149633	sports,0.007348029392117568	military,0.006680026720106881
Cædwalla_of_Wessex	church/royalty,0.7695406929895245	family,0.1200644641418211	explorers,0.032232070910556	royalty,0.032232070910556	cricket,0.011281224818694601	literature,0.008058017727639	military,0.007252215954875101	music,0.007252215954875101	sports,0.0064464141821112	politics,0.0056406124093473006
Daisy_Jugadai_Napaltjarri	literature,0.6716417910447762	family,0.11021814006888633	royalty,0.04707233065442021	military,0.04362801377726751	cricket,0.04362801377726751	explorers,0.021814006888633754	church/royalty,0.018369690011481057	sports,0.014925373134328358	music,0.014925373134328358	politics,0.013777267508610792
Damageplan	music,0.5413533834586466	family,0.24154135338345864	explorers,0.06015037593984962	politics,0.03477443609022556	sports,0.02819548872180451	military,0.02819548872180451	literature,0.019736842105263157	church/royalty,0.019736842105263157	cricket,0.017857142857142856	royalty,0.008458646616541353
Damon_Hill	sports,0.6805502483760031	family,0.15857852502865877	cricket,0.03744745892243027	music,0.02904088651127245	military,0.02445548337791364	royalty,0.021016431027894536	literature,0.014902560183416125	politics,0.014138326327856323	explorers,0.013374092472296522	church/royalty,0.006495987772258311
Dan_Leno	literature,0.2935153583617747	music,0.26791808873720135	family,0.2515358361774744	royalty,0.09283276450511946	sports,0.027303754266211604	cricket,0.024914675767918087	politics,0.014675767918088738	military,0.012969283276450512	explorers,0.010238907849829351	church/royalty,0.004095563139931741
Daniel_Boone	explorers,0.43901750423489555	family,0.2521174477696217	politics,0.13495200451722192	literature,0.08272162619988707	royalty,0.030491247882552232	church/royalty,0.02258610954263128	sports,0.014116318464144552	military,0.01129305477131564	music,0.007622811970638058	cricket,0.005081874647092038
Daniel_Sedin	sports,0.8967906637490882	family,0.03865791393143691	music,0.012764405543398978	royalty,0.009846827133479213	cricket,0.009846827133479213	politics,0.00911743253099927	literature,0.008023340627279359	explorers,0.006199854121079504	church/royalty,0.005105762217359592	military,0.0036469730123997084
David_I_of_Scotland	royalty,0.4978723404255319	family,0.2199468085106383	church/royalty,0.21914893617021278	literature,0.014627659574468085	politics,0.013297872340425532	explorers,0.008776595744680852	sports,0.00824468085106383	cricket,0.007712765957446808	military,0.006382978723404255	music,0.003989361702127659
David_Lewis_(politician)	politics,0.5469997424671645	family,0.27015194437290757	literature,0.04584084470770023	royalty,0.038372392480041206	military,0.029616276075199587	sports,0.023950553695596188	explorers,0.015967035797064124	church/royalty,0.01390677311357198	music,0.008241050733968582	cricket,0.00695338655678599
David_Lovering	music,0.6411378555798687	family,0.16083150984682712	literature,0.06345733041575492	sports,0.04048140043763676	politics,0.02516411378555799	royalty,0.024070021881838075	explorers,0.015317286652078774	cricket,0.012035010940919038	military,0.009846827133479213	church/royalty,0.007658643326039387
Demosthenes	church/royalty,0.4528829057658115	family,0.32943865887731777	politics,0.09753619507239014	literature,0.06604013208026416	music,0.012954025908051815	military,0.011176022352044705	royalty,0.010414020828041656	explorers,0.009652019304038608	cricket,0.006858013716027432	sports,0.003048006096012192
